time_s,ir,bpm,avg_bpm
0.0589451789855957,605.0,0.0,0.0
0.21652626991271973,605.0,0.0,0.0
0.24401593208312988,607.0,0.0,0.0
0.27896595001220703,597.0,0.0,0.0
0.30661606788635254,603.0,0.0,0.0
0.35686469078063965,600.0,0.0,0.0
0.4168398380279541,587.0,0.0,0.0
0.47687244415283203,585.0,0.0,0.0
0.5368165969848633,593.0,0.0,0.0
0.5968575477600098,608.0,0.0,0.0
0.6568958759307861,662.0,0.0,0.0
0.7169134616851807,712.0,0.0,0.0
0.7768914699554443,761.0,0.0,0.0
0.8368711471557617,984.0,0.0,0.0
0.8948547840118408,1380.0,0.0,0.0
0.954827070236206,2373.0,0.0,0.0
1.015890121459961,4171.0,0.0,0.0
1.0758166313171387,7100.0,0.0,0.0
1.135829210281372,14767.0,0.0,0.0
1.1958580017089844,24031.0,0.0,0.0
1.2559161186218262,43565.0,0.0,0.0
1.3138463497161865,64627.0,0.0,0.0
1.3739128112792969,74890.0,0.0,0.0
1.433828353881836,79059.0,0.0,0.0
1.4938650131225586,78182.0,0.0,0.0
1.5538709163665771,82208.0,0.0,0.0
1.6138694286346436,90706.0,0.0,0.0
1.6738526821136475,95241.0,0.0,0.0
1.7338662147521973,97614.0,0.0,0.0
1.7938122749328613,98230.0,0.0,0.0
1.852907419204712,97314.0,0.0,0.0
1.912843942642212,95014.0,0.0,0.0
1.9728538990020752,94759.0,0.0,0.0
2.0328426361083984,95284.0,0.0,0.0
2.091853380203247,94021.0,0.0,0.0
2.151826858520508,91532.0,0.0,0.0
2.2118260860443115,92029.0,0.0,0.0
2.271820306777954,92312.0,0.0,0.0
2.3318898677825928,94718.0,0.0,0.0
2.391873359680176,94969.0,0.0,0.0
2.451871633529663,93493.0,0.0,0.0
2.5118415355682373,91734.0,0.0,0.0
2.571873664855957,91242.0,0.0,0.0
2.6318790912628174,94379.0,0.0,0.0
2.6917898654937744,95394.0,0.0,0.0
2.7508795261383057,94934.0,0.0,0.0
2.8108506202697754,92893.0,0.0,0.0
2.870903253555298,93350.0,0.0,0.0
2.930891513824463,95236.0,0.0,0.0
2.990861654281616,96898.0,0.0,0.0
3.0507900714874268,97522.0,0.0,0.0
3.1108591556549072,96830.0,0.0,0.0
3.1707875728607178,95833.0,0.0,0.0
3.230785369873047,96334.0,0.0,0.0
3.288827657699585,97201.0,0.0,0.0
3.3488588333129883,96776.0,0.0,0.0
3.408815383911133,96917.0,0.0,0.0
3.4688527584075928,96622.0,0.0,0.0
3.5288684368133545,97009.0,0.0,0.0
3.5888302326202393,97747.0,0.0,0.0
3.648812770843506,98245.0,0.0,0.0
3.708872079849243,98507.0,0.0,0.0
3.7688562870025635,99098.0,0.0,0.0
3.828857660293579,99493.0,0.0,0.0
3.8887829780578613,100365.0,0.0,0.0
3.9488704204559326,100520.0,0.0,0.0
4.0088279247283936,100300.0,0.0,0.0
